,state,year,cpi,pop,packpc,income,tax,avgprs,taxs,state_fn,year_str
1,AL,1985,1.07599997520447,3973000,116.486282348633,46014968,32.5000038146973,102.181671142578,33.3483352661133,Alabama,1985
2,AR,1985,1.07599997520447,2327000,128.534591674805,26210736,37.0,101.474998474121,37.0,Arkansas,1985
3,AZ,1985,1.07599997520447,3184000,104.52261352539101,43956936,31.0,108.578750610352,36.170417785644496,Arizona,1985
4,CA,1985,1.07599997520447,26444000,100.363037109375,447102816,26.0,107.83734130859399,32.1040000915527,California,1985
5,CO,1985,1.07599997520447,3209000,112.963539123535,49466672,31.0,94.26666259765629,31.0,Colorado,1985
6,CT,1985,1.07599997520447,3201000,109.278350830078,60063368,42.0,128.024993896484,51.483333587646506,Connecticut,1985
7,DE,1985,1.07599997520447,618000,143.851135253906,9927301,30.0,102.491661071777,30.0,Delaware,1985
8,FL,1985,1.07599997520447,11352000,122.181121826172,166919248,37.0,115.290000915527,42.4900016784668,Florida,1985
9,GA,1985,1.07599997520447,5963000,127.234619140625,78364336,28.0,97.0251693725586,28.841833114624,Georgia,1985
10,IA,1985,1.07599997520447,2830000,113.74558258056601,37902896,34.0,101.842002868652,37.916999816894496,Iowa,1985
11,ID,1985,1.07599997520447,994000,103.018112182617,11577261,25.100000381469695,102.89933013916,29.0576667785645,Idaho,1985
12,IL,1985,1.07599997520447,11401000,123.208480834961,176786352,28.0000057220459,104.440254211426,28.9152565002441,Illinois,1985
13,IN,1985,1.07599997520447,5460000,137.63737487793,71751616,26.5,96.1800003051758,31.0799999237061,Indiana,1985
14,KS,1985,1.07599997520447,2428000,116.68039703369101,34784360,32.0,98.92291259765629,34.8812484741211,Kansas,1985
15,KY,1985,1.07599997520447,3695000,186.035186767578,42703144,19.0,87.00125122070308,23.1429176330566,Kentucky,1985
16,LA,1985,1.07599997520447,4409000,127.557266235352,53431900,32.0,108.393997192383,36.168998718261705,Louisiana,1985
17,MA,1985,1.07599997520447,5881000,115.677597045898,98328688,42.0,112.208335876465,42.0,Massachusetts,1985
18,MD,1985,1.07599997520447,4414000,120.978706359863,74851664,29.0,91.96666717529301,29.0,Maryland,1985
19,ME,1985,1.07599997520447,1163000,128.116943359375,14575292,36.0,107.047500610352,41.0974998474121,Maine,1985
20,MI,1985,1.07599997520447,9077000,128.00485229492202,133728040,37.0,104.914169311523,37.8308334350586,Michigan,1985
21,MN,1985,1.07599997520447,4185000,112.90322875976601,63152360,34.0,113.64966583252001,40.4329986572266,Minnesota,1985
22,MO,1985,1.07599997520447,5001000,130.373931884766,69341920,29.000003814697298,99.33816528320308,29.8548374176025,Missouri,1985
23,MS,1985,1.07599997520447,2588000,117.040184020996,25678534,27.58333206176761,105.293334960938,33.5433311462402,Mississippi,1985
24,MT,1985,1.07599997520447,822000,104.25790405273399,9785230,32.0,99.2916641235352,32.0,Montana,1985
25,NC,1985,1.07599997520447,6255000,155.283767700195,79104656,18.0,84.9679946899414,21.26799964904789,North Carolina,1985
26,ND,1985,1.07599997520447,677000,105.465286254883,8672948,34.0,106.807998657227,38.108001708984396,North Dakota,1985
27,NE,1985,1.07599997520447,1585000,107.38170623779301,21778072,34.0,104.60666656494101,38.02333450317379,Nebraska,1985
28,NH,1985,1.07599997520447,997000,197.993988037109,15767469,33.0,95.5,33.0,New Hampshire,1985
29,NJ,1985,1.07599997520447,7566000,116.521278381348,133549208,41.0,110.416664123535,41.0,New Jersey,1985
30,NM,1985,1.07599997520447,1439000,88.74217987060551,17258916,28.0,102.77799987792999,31.952999114990202,New Mexico,1985
31,NV,1985,1.07599997520447,951000,141.95584106445298,14581495,31.0,114.18849945068399,37.4635009765625,Nevada,1985
32,NY,1985,1.07599997520447,17794000,116.66291809082001,297728512,37.0000038146973,109.99782562255899,37.881172180175795,New York,1985
33,OH,1985,1.07599997520447,10736000,127.598739624023,153455776,30.0,100.42374420166,34.7820816040039,Ohio,1985
34,OK,1985,1.07599997520447,3272000,127.139366149902,43395580,34.0,101.46807861328101,34.826416015625,Oklahoma,1985
35,OR,1985,1.07599997520447,2673000,119.45379638671899,36205164,35.0,97.03333282470699,35.0,Oregon,1985
36,PA,1985,1.07599997520447,11772000,117.703025817871,170033840,34.0,109.074005126953,40.173999786377,Pennsylvania,1985
37,RI,1985,1.07599997520447,967000,132.781784057617,14229156,39.0,100.941665649414,39.0,Rhode Island,1985
38,SC,1985,1.07599997520447,3304000,127.209442138672,38536176,23.0,90.6412506103516,27.3162498474121,South Carolina,1985
39,SD,1985,1.07599997520447,698000,106.59025573730499,8340000,31.0,97.0833358764648,31.0,South Dakota,1985
40,TN,1985,1.07599997520447,4716000,129.83459472656202,57749668,29.0,101.945503234863,34.770500183105504,Tennessee,1985
41,TX,1985,1.07599997520447,16275000,115.102928161621,231003152,35.25,107.37999725341801,39.3800010681152,Texas,1985
42,UT,1985,1.07599997520447,1643000,68.046257019043,19462380,28.0,110.195838928223,34.2374992370605,Utah,1985
43,VA,1985,1.07599997520447,5716000,134.00979614257798,87361632,18.5000019073486,91.6153335571289,22.023668289184602,Virginia,1985
44,VT,1985,1.07599997520447,530000,145.283020019531,6887097,33.0,100.98333740234399,33.0,Vermont,1985
45,WA,1985,1.07599997520447,4401000,96.2281265258789,64846548,39.0,129.461090087891,47.469417572021506,Washington,1985
46,WI,1985,1.07599997520447,4748000,107.876998901367,65732720,41.0,114.590003967285,46.4566650390625,Wisconsin,1985
47,WV,1985,1.07599997520447,1907000,112.84740447997999,20852964,33.0,108.91124725341801,38.186248779296896,West Virginia,1985
48,WY,1985,1.07599997520447,500000,129.399993896484,7116756,24.0,93.46666717529301,24.0,Wyoming,1985
49,AL,1986,1.09599995613098,3992000,117.159317016602,48703940,32.5000038146973,107.98916625976601,33.405838012695305,Alabama,1986
50,AR,1986,1.09599995613098,2332000,127.658660888672,27363680,37.0,109.083335876465,37.0,Arkansas,1986
51,AZ,1986,1.09599995613098,3309000,103.294044494629,47848132,31.0,116.199996948242,36.533332824706996,Arizona,1986
52,CA,1986,1.09599995613098,27106000,96.36611938476558,477762464,26.0,110.354835510254,32.2465019226074,California,1986
53,CO,1986,1.09599995613098,3238000,109.234092712402,51062272,31.0,100.058334350586,31.0,Colorado,1986
54,CT,1986,1.09599995613098,3224000,106.761787414551,64597832,42.0,130.625991821289,51.675998687744105,Connecticut,1986
55,DE,1986,1.09599995613098,628000,140.76432800293,10530821,30.0,108.816665649414,30.0,Delaware,1986
56,FL,1986,1.09599995613098,11669000,120.61873626709,179951680,37.0,121.94000244140601,42.806667327880895,Florida,1986
57,GA,1986,1.09599995613098,6085000,126.573539733887,85125968,28.0,103.219833374023,28.9031658172607,Georgia,1986
58,IA,1986,1.09599995613098,2792000,107.77220916747999,39144360,40.0,114.37400054931601,44.398998260498,Iowa,1986
59,ID,1986,1.09599995613098,990000,98.28282928466801,11850746,25.100000381469695,108.263999938965,29.2639999389648,Idaho,1986
60,IL,1986,1.09599995613098,11389000,119.58029937744101,185432176,32.666671752929695,113.912826538086,33.629505157470696,Illinois,1986
61,IN,1986,1.09599995613098,5455000,138.881759643555,75381600,26.5,102.261245727539,31.369583129882802,Indiana,1986
62,KS,1986,1.09599995613098,2433000,110.028778076172,36256488,38.0,110.93958282470699,41.2312507629395,Kansas,1986
63,KY,1986,1.09599995613098,3688000,181.805847167969,44233712,19.0,92.7937469482422,23.4187507629395,Kentucky,1986
64,LA,1986,1.09599995613098,4407000,123.25845336914101,53005136,32.0,117.008666992187,36.5003318786621,Louisiana,1986
65,MA,1986,1.09599995613098,5903000,114.24699401855499,105975744,42.0,118.150001525879,42.0,Massachusetts,1986
66,MD,1986,1.09599995613098,4488000,119.229049682617,80611616,29.0,97.3833389282227,29.0,Maryland,1986
67,ME,1986,1.09599995613098,1170000,118.37606811523399,15753707,42.0,121.441246032715,47.7829170227051,Maine,1986
68,MI,1986,1.09599995613098,9129000,126.136489868164,142146336,37.0,110.03150177002001,37.88150024414061,Michigan,1986
69,MN,1986,1.09599995613098,4206000,104.46980285644501,66784232,39.0,125.627670288086,46.11100006103521,Minnesota,1986
70,MO,1986,1.09599995613098,5024000,129.10031127929702,72858704,29.000003814697298,106.67749786377001,29.927503585815398,Missouri,1986
71,MS,1986,1.09599995613098,2594000,114.03237915039101,26694922,34.0,118.41967010497999,40.7029991149902,Mississippi,1986
72,MT,1986,1.09599995613098,814000,99.38574981689449,10143255,32.0,104.449996948242,32.0,Montana,1986
73,NC,1986,1.09599995613098,6322000,152.752304077148,84987520,18.0,92.1112518310547,22.3862495422363,North Carolina,1986
74,ND,1986,1.09599995613098,670000,102.089553833008,8788163,34.0,112.06866455078101,38.310333251953104,North Dakota,1986
75,NE,1986,1.09599995613098,1575000,105.206352233887,22378720,35.666664123535206,112.744667053223,40.002998352050795,Nebraska,1986
76,NH,1986,1.09599995613098,1025000,190.634140014648,17399088,33.0,101.166664123535,33.0,New Hampshire,1986
77,NJ,1986,1.09599995613098,7623000,114.574317932129,142617056,41.0,117.474998474121,41.0,New Jersey,1986
78,NM,1986,1.09599995613098,1463000,87.2863998413086,17882868,28.0,108.88800048828101,32.187999725341804,New Mexico,1986
79,NV,1986,1.09599995613098,981000,135.168197631836,15715826,31.0,117.57166290283199,37.654998779296896,Nevada,1986
80,NY,1986,1.09599995613098,17836000,113.562461853027,317914048,37.0000038146973,115.519165039063,37.9358367919922,New York,1986
81,OH,1986,1.09599995613098,10732000,126.593360900879,160236048,30.0,105.51624298095699,35.024581909179695,Ohio,1986
82,OK,1986,1.09599995613098,3253000,121.303413391113,43222260,34.0,111.23983001709,34.923168182373,Oklahoma,1986
83,OR,1986,1.09599995613098,2684000,112.071533203125,38003492,41.0,109.933334350586,41.0,Oregon,1986
84,PA,1986,1.09599995613098,11784000,114.68093109130899,178937904,34.0,114.34750366210899,40.4724998474121,Pennsylvania,1986
85,RI,1986,1.09599995613098,975000,135.384613037109,15233344,39.4000015258789,107.691665649414,39.4000015258789,Rhode Island,1986
86,SC,1986,1.09599995613098,3343000,126.742446899414,40974356,23.0,97.1775054931641,27.627500534057607,South Carolina,1986
87,SD,1986,1.09599995613098,696000,98.85057830810551,8690783,39.0,111.53333282470699,39.0,South Dakota,1986
88,TN,1986,1.09599995613098,4739000,129.33108520507798,61580548,29.0,107.634170532227,35.092498779296896,Tennessee,1986
89,TX,1986,1.09599995613098,16563000,111.44720458984399,234593728,36.333335876464794,114.945999145508,40.754337310791,Texas,1986
90,UT,1986,1.09599995613098,1663000,64.76247406005861,20367186,28.0,112.863494873047,34.388500213623,Utah,1986
91,VA,1986,1.09599995613098,5812000,133.310394287109,94363768,18.5000019073486,96.9539947509766,22.2290019989014,Virginia,1986
92,VT,1986,1.09599995613098,534000,131.460678100586,7392319,33.0,114.495330810547,37.40366744995121,Vermont,1986
93,WA,1986,1.09599995613098,4453000,93.2854232788086,69114048,41.0,136.951080322266,49.959415435790994,Washington,1986
94,WI,1986,1.09599995613098,4756000,105.88729858398399,69101072,41.0,119.708755493164,46.7004165649414,Wisconsin,1986
95,WV,1986,1.09599995613098,1883000,115.24163818359399,21578364,33.0,114.633750915527,38.4587516784668,West Virginia,1986
96,WY,1986,1.09599995613098,496000,127.822578430176,6940614,24.0,100.65833282470699,24.0,Wyoming,1986
97,AL,1987,1.1360000371933,4016000,115.836654663086,51846312,32.5000038146973,113.527328491211,33.4606704711914,Alabama,1987
98,AR,1987,1.1360000371933,2343000,125.309432983398,28540168,37.0,117.025001525879,37.0,Arkansas,1987
99,AZ,1987,1.1360000371933,3438000,100.34903717041,52003120,31.0,119.175003051758,36.6749992370605,Arizona,1987
100,CA,1987,1.1360000371933,27781000,92.46607208251949,517348384,26.0,118.481498718262,32.7065010070801,California,1987
101,CO,1987,1.1360000371933,3261000,102.698554992676,53527656,36.0,112.916664123535,36.0,Colorado,1987
102,CT,1987,1.1360000371933,3248000,106.61946105957001,71098736,42.0,136.92599487304702,52.1426658630371,Connecticut,1987
103,DE,1987,1.1360000371933,637000,137.519622802734,11422540,30.0,116.008338928223,30.0,Delaware,1987
104,FL,1987,1.1360000371933,11999000,119.226600646973,196939232,40.0,132.78125,46.3229179382324,Florida,1987
105,GA,1987,1.1360000371933,6209000,124.78659820556601,92007472,28.0,107.941581726074,28.9499168395996,Georgia,1987
106,IA,1987,1.1360000371933,2767000,107.55330657959,41224700,42.0,126.091323852539,46.849666595459006,Iowa,1987
107,ID,1987,1.1360000371933,985000,99.28933715820308,12421681,27.3250007629395,118.404998779297,32.963333129882805,Idaho,1987
108,IL,1987,1.1360000371933,11393000,111.93716430664101,196946624,36.000007629394496,128.056838989258,43.24850845336911,Illinois,1987
109,IN,1987,1.1360000371933,5474000,136.773849487305,80257856,26.5,107.677505493164,31.627500534057607,Indiana,1987
110,KS,1987,1.1360000371933,2446000,106.255111694336,38106992,40.0,124.782669067383,44.7993316650391,Kansas,1987
111,KY,1987,1.1360000371933,3684000,175.950057983398,47080768,19.0,97.4137496948242,23.6387500762939,Kentucky,1987
112,LA,1987,1.1360000371933,4345000,121.56501770019501,53286764,32.0,124.08933258056601,36.772666931152294,Louisiana,1987
113,MA,1987,1.1360000371933,5936000,112.095687866211,115760808,42.0,126.933334350586,42.0,Massachusetts,1987
114,MD,1987,1.1360000371933,4566000,115.878219604492,87731312,29.0,105.491668701172,29.0,Maryland,1987
115,ME,1987,1.1360000371933,1185000,123.96624755859399,17289266,44.0,132.037506103516,50.2874984741211,Maine,1987
116,MI,1987,1.1360000371933,9189000,122.36369323730499,148190832,37.0,118.66699981689501,37.9669990539551,Michigan,1987
117,MN,1987,1.1360000371933,4236000,108.498580932617,71570232,40.25,132.711990356445,47.762001037597706,Minnesota,1987
118,MO,1987,1.1360000371933,5057000,129.681625366211,77114720,29.000003814697298,113.04891967773399,29.990587234497102,Missouri,1987
119,MS,1987,1.1360000371933,2589000,112.51448059082001,28248528,34.0,126.952667236328,41.1860008239746,Mississippi,1987
120,MT,1987,1.1360000371933,805000,95.2795028686523,10462867,32.0,111.508331298828,32.0,Montana,1987
121,NC,1987,1.1360000371933,6405000,148.103042602539,91733648,18.0,96.5625,20.8125,North Carolina,1987
122,ND,1987,1.1360000371933,661000,97.730712890625,8968475,34.0,117.138671875,38.505332946777294,North Dakota,1987
123,NE,1987,1.1360000371933,1567000,104.913848876953,23552768,39.0,121.645332336426,43.67866516113279,Nebraska,1987
124,NH,1987,1.1360000371933,1054000,185.19923400878898,19368684,33.0,108.708335876465,33.0,New Hampshire,1987
125,NJ,1987,1.1360000371933,7672000,110.792495727539,155179008,41.0,125.550003051758,41.0,New Jersey,1987
126,NM,1987,1.1360000371933,1479000,82.0824890136719,18756172,31.0,117.853744506836,36.6120834350586,New Mexico,1987
127,NV,1987,1.1360000371933,1024000,135.7421875,17280732,31.0,127.394332885742,38.2109985351562,Nevada,1987
128,NY,1987,1.1360000371933,17871000,109.434280395508,340067904,37.0000038146973,123.203582763672,38.0119209289551,New York,1987
129,OH,1987,1.1360000371933,10762000,125.450653076172,168667712,30.0,108.65749359130899,35.174167633056605,Ohio,1987
130,OK,1987,1.1360000371933,3211000,118.24976348877001,43220656,34.4166641235352,120.18383026122999,37.917163848877,Oklahoma,1987
131,OR,1987,1.1360000371933,2701000,109.21881103515601,40274160,43.0,125.09166717529301,43.0,Oregon,1987
132,PA,1987,1.1360000371933,11812000,112.487289428711,190656640,34.0,118.022171020508,40.6805000305176,Pennsylvania,1987
133,RI,1987,1.1360000371933,990000,121.818183898926,16477743,41.0,118.166664123535,41.0,Rhode Island,1987
134,SC,1987,1.1360000371933,3381000,127.151733398438,44136172,23.0,102.88250732421899,27.899166107177702,South Carolina,1987
135,SD,1987,1.1360000371933,696000,98.99425506591801,9199160,39.0,120.116661071777,39.0,South Dakota,1987
136,TN,1987,1.1360000371933,4784000,130.81103515625,66524200,29.0,117.197998046875,37.6813316345215,Tennessee,1987
137,TX,1987,1.1360000371933,16624000,104.313041687012,240782432,36.5,123.889999389648,41.2649993896484,Texas,1987
138,UT,1987,1.1360000371933,1678000,68.53396606445311,21208236,29.83333206176761,117.97625732421899,35.4512481689453,Utah,1987
139,VA,1987,1.1360000371933,5933000,129.66458129882798,102817072,18.5000019073486,102.93399810791,22.4590015411377,Virginia,1987
140,VT,1987,1.1360000371933,540000,127.777778625488,8099821,33.0,124.35799407959,37.7830009460449,Vermont,1987
141,WA,1987,1.1360000371933,4533000,88.9697799682617,73871752,47.0,148.087997436523,56.6879997253418,Washington,1987
142,WI,1987,1.1360000371933,4779000,106.84243774414101,73377744,41.0,126.586250305176,47.02791595458979,Wisconsin,1987
143,WV,1987,1.1360000371933,1858000,113.832077026367,22197652,33.0,124.19750213622999,38.91416549682621,West Virginia,1987
144,WY,1987,1.1360000371933,477000,119.496856689453,6769883,24.0,108.650001525879,24.0,Wyoming,1987
145,AL,1988,1.18300008773804,4024000,115.258445739746,55698852,32.5000038146973,120.03342437744101,33.5250854492187,Alabama,1988
146,AR,1988,1.18300008773804,2343000,125.52283477783199,30492638,37.0,129.427993774414,41.978000640869105,Arkansas,1988
147,AZ,1988,1.18300008773804,3536000,99.4626693725586,55836700,31.0,126.586250305176,37.027915954589794,Arizona,1988
148,CA,1988,1.18300008773804,28468000,88.38345336914058,561121088,26.0,130.00900268554702,33.359001159668004,California,1988
149,CO,1988,1.18300008773804,3263000,97.0272750854492,56387208,36.0,124.633331298828,36.0,Colorado,1988
150,CT,1988,1.18300008773804,3272000,103.85085296630899,78551080,42.0,147.824996948242,52.9500007629395,Connecticut,1988
151,DE,1988,1.18300008773804,648000,135.956787109375,12506597,30.0,122.04167175292999,30.0,Delaware,1988
152,FL,1988,1.18300008773804,12308000,118.061424255371,216504528,40.0,142.721252441406,46.7962493896484,Florida,1988
153,GA,1988,1.18300008773804,6317000,123.68212127685499,100276824,28.0,117.949005126953,29.048999786377,Georgia,1988
154,IA,1988,1.18300008773804,2769000,103.539184570312,42399264,44.66666412353521,139.767349243164,50.04233169555661,Iowa,1988
155,ID,1988,1.18300008773804,986000,88.6409759521484,13353923,34.0,135.16125488281298,40.436248779296896,Idaho,1988
156,IL,1988,1.18300008773804,11392000,110.094795227051,210271984,36.000007629394496,136.863662719727,43.7470092773437,Illinois,1988
157,IN,1988,1.18300008773804,5493000,135.863815307617,85759016,31.5,120.706253051758,37.247917175293004,Indiana,1988
158,KS,1988,1.18300008773804,2462000,104.63037872314501,40206912,40.0,136.5,45.25,Kansas,1988
159,KY,1988,1.18300008773804,3681000,172.507476806641,49938632,19.0,104.87750244140601,23.9941673278809,Kentucky,1988
160,LA,1988,1.18300008773804,4289000,116.810447692871,56239456,32.0,131.464660644531,37.0563316345215,Louisiana,1988
161,MA,1988,1.18300008773804,5981000,109.898002624512,127579568,42.0,141.516662597656,42.0,Massachusetts,1988
162,MD,1988,1.18300008773804,4659000,112.66366577148399,96071784,29.0,115.616661071777,29.0,Maryland,1988
163,ME,1988,1.18300008773804,1204000,123.754150390625,19035832,44.0,144.882507324219,50.899166107177706,Maine,1988
164,MI,1988,1.18300008773804,9219000,121.705177307129,158529136,39.0,129.218322753906,40.051666259765604,Michigan,1988
165,MN,1988,1.18300008773804,4297000,94.0423583984375,75578160,54.0,156.88000488281298,62.88000106811521,Minnesota,1988
166,MO,1988,1.18300008773804,5082000,129.712707519531,81744480,29.000003814697298,118.14942169189501,30.041088104248,Missouri,1988
167,MS,1988,1.18300008773804,2581000,113.018211364746,30176940,34.0,131.934661865234,41.46799850463871,Mississippi,1988
168,MT,1988,1.18300008773804,800000,90.625,10692508,32.0,119.79167175292999,32.0,Montana,1988
169,NC,1988,1.18300008773804,6482000,145.572357177734,100196176,18.0,105.849662780762,21.0830001831055,North Carolina,1988
170,ND,1988,1.18300008773804,655000,92.3664093017578,8352113,43.0,138.488998413086,50.8390007019043,North Dakota,1988
171,NE,1988,1.18300008773804,1572000,95.5470733642578,25118636,43.0,137.938659667969,48.3053321838379,Nebraska,1988
172,NH,1988,1.18300008773804,1083000,176.638961791992,21390430,33.0,120.73333740234399,33.0,New Hampshire,1988
173,NJ,1988,1.18300008773804,7713000,108.01244354247999,170763504,43.0,136.29167175293,43.0,New Jersey,1988
174,NM,1988,1.18300008773804,1491000,79.4768600463867,19853934,31.0,127.65374755859399,37.0787506103516,New Mexico,1988
175,NV,1988,1.18300008773804,1075000,135.53488159179702,19544342,36.0,147.269348144531,44.336002349853494,Nevada,1988
176,NY,1988,1.18300008773804,17944000,106.34752655029301,369668224,37.0000038146973,133.311996459961,38.112003326416,New York,1988
177,OH,1988,1.18300008773804,10800000,122.78703308105499,180756992,34.0,121.231254577637,39.772918701171896,Ohio,1988
