顺序,皇帝,寿命,生卒年,朝代
1,秦始皇嬴政,50,前259年－前210年,秦朝
2,秦二世嬴胡亥,24,前230年—前207年,秦朝
3,汉高帝 刘邦,62,前256年－前195年,汉朝
4,汉惠帝 刘盈,23,前210年—前188年,汉朝
5,汉文帝 刘恒,46,前202年－前157年,汉朝
6,汉景帝 刘启,48,前188年－前141年,汉朝
7,汉武帝 刘彻,70,前156年－前87年,汉朝
8,汉昭帝 刘弗陵,21,前94年—前74年,汉朝
9,昌邑王 刘贺,34,前92年—前59年,汉朝
10,汉宣帝 刘询,45,前91年—前49年,汉朝
11,汉元帝 刘奭,42,前74年—前33年,汉朝
12,汉成帝 刘骜,45,前51年—前7年,汉朝
13,汉哀帝 刘欣,26,前26年—前1年,汉朝
14,汉平帝 刘箕子,14,前9年—5年,汉朝
15,孺子婴 刘婴,21,5年—25年,汉朝
16,新朝 王莽,68,前45年－23年,新朝
17,汉光武帝 刘秀,63,前6年－57年,汉朝
18,汉明帝 刘庄,48,28年—75年,汉朝
19,汉章帝 刘炟,32,57年—88年,汉朝
20,汉和帝 刘肇,27,79年—105年,汉朝
21,汉殇帝 刘隆,2,105年—106年,汉朝
22,汉安帝 刘祜,32,94年—125年,汉朝
23,汉顺帝 刘保,30,115年—144年,汉朝
24,汉冲帝 刘炳,3,143年—145年,汉朝
25,汉质帝 刘缵,9,138年—146年,汉朝
26,汉桓帝 刘志,36,132年—167年,汉朝
27,汉灵帝 刘宏,34,156年—189年,汉朝
28,汉少帝 刘辩,15,176年—190年,汉朝
29,汉献帝 刘协,54,181年—234年,汉朝
30,汉昭烈帝刘备,63,161年－223年,三国
31,蜀汉后主 刘禅,65,207年－271年,三国
32,魏文帝 曹丕,40,187年—226年,三国
33,魏明帝 曹睿,34,205年—239年,三国
34,曹魏齐王 曹芳,43,232年—274年,三国
35,曹魏高贵乡公 曹髦,20,241年—260年,三国
36,魏元帝 曹奂,58,245年—302年,三国
37,吴大帝 孙权,71,182年－252年,三国
38,东吴废帝 孙亮,18,243年—260年,三国
39,吴景帝 孙休,30,235年－264年,三国
40,东吴末帝 孙皓,43,242年—284年,三国
41,晋武帝 司马炎,55,236年—290年,晋朝
42,晋惠帝 司马衷,48,259年—307年,晋朝
43,晋怀帝 司马炽,30,284年—313年,晋朝
44,晋愍帝 司马邺,18,300年—317年,晋朝
45,晋元帝 司马睿,47,276年—323年,晋朝
46,晋明帝 司马绍,27,299年—325年,晋朝
47,晋成帝 司马衍,22,321年—342年,晋朝
48,晋康帝 司马岳,23,322年—344年,晋朝
49,晋穆帝 司马聃,19,343年—361年,晋朝
50,晋哀帝 司马丕,25,341年—365年,晋朝
51,晋废帝 司马奕,45,342年—386年,晋朝
52,晋简文帝 司马昱,52,321年—372年,晋朝
53,晋孝武帝 司马曜,35,362年—396年,晋朝
54,晋安帝 司马德宗,37,382年—418年,晋朝
55,晋恭帝 司马德文,37,385年—421年,晋朝
56,楚武悼帝 桓玄,36,369年－404年,晋朝
57,成武帝 李雄,61,274年－334年,十六国
58,成戾太子 李班,47,288年—334年,十六国
59,成幽公 李期,26,314年—338年,十六国
60,汉昭文帝 李寿,44,300年－343年,十六国
61,后赵明帝 石勒,60,274年－333年,十六国
62,后赵海阳王 石弘,22,314年—335年,十六国
63,后赵武帝 石虎,55,295年－349年,十六国
64,后赵谯王 石世,11,339年—349年,十六国
65,前燕文明帝 慕容皝,52,297年－348年,十六国
66,前燕景昭帝 慕容俊,42,319年－360年,十六国
67,前燕幽帝 慕容暐,45,327年—371年,十六国
68,西燕威帝 慕容冲,28,359年—386年,十六国
69,后燕成武帝 慕容垂,71,326年－396年,十六国
70,后燕惠愍帝 慕容宝,44,355年－398年,十六国
71,后燕昭武帝 慕容盛,29,373年—401年,十六国
72,后燕昭文帝 慕容熙,23,385年—407年,十六国
73,南燕献武帝 慕容德,70,336年－405年,十六国
74,南燕末主 慕容超,26,385年—410年,十六国
75,后凉懿武帝 吕光,62,338年－399年,十六国
75,前秦惠武帝 苻洪,66,285年—350年,十六国
76,前秦明帝 苻健,39,317年—355年,十六国
77,前秦厉王 苻生,23,335年—357年,十六国
78,前秦宣昭帝 苻坚,48,338年－385年,十六国
79,前秦高帝 苻登,52,343年—394年,十六国
80,后秦武昭帝 姚苌,64,330年－393年,十六国
81,后秦文桓帝 姚兴,51,366年—416年,十六国
82,后秦末主 姚泓,30,388年—417年,十六国
83,夏武烈帝 赫连勃勃,45,381年—425年,十六国
84,宋武帝 刘裕,60,363年－422年,南北朝
85,宋少帝 刘义符,19,406年—424年,南北朝
86,宋文帝 刘义隆,47,407年—453年,南北朝
87,宋元凶 刘劭,28,426年—453年,南北朝
88,宋孝武帝 刘骏,35,430年—464年,南北朝
89,宋前废帝 刘子业,17,449年—465年,南北朝
90,宋明帝 刘彧,34,439年—472年,南北朝
91,宋后废帝 刘昱,15,463年—477年,南北朝
92,宋顺帝 刘准,13,467年—479年,南北朝
93,齐高帝 萧道成,56,427年—482年,南北朝
94,齐武帝 萧赜,54,440年—493年,南北朝
95,齐郁林王 萧昭业,22,473年—494年,南北朝
96,齐海陵王 萧昭文,15,480年—494年,南北朝
97,齐明帝 萧鸾,47,452年—498年,南北朝
98,齐东昏侯 萧宝卷,19,483年—501年,南北朝
99,齐和帝 萧宝融,15,488年—502年,南北朝
100,梁武帝 萧衍,86,464年－549年,南北朝
101,梁简文帝 萧纲,49,503年－551年,南北朝
102,梁元帝 萧绎,47,508年—554年,南北朝
103,梁敬帝 萧方智,16,543年—558年,南北朝
104,梁武陵贞献王 萧纪,46,508年—553年,南北朝
105,梁永嘉王 萧庄,30,548年—577年,南北朝
106,梁宣帝 萧察,44,519年—562年,南北朝
107,梁明帝 萧岿,44,542年—585年,南北朝
108,陈武帝 陈霸先,57,503年－559年,南北朝
109,陈文帝 陈蒨,45,522年－566年,南北朝
110,陈废帝 陈伯宗,17,554年—570年,南北朝
111,陈宣帝 陈顼,53,530年－582年,南北朝
112,陈后主 陈叔宝,52,553年—604年,南北朝
113,北魏道武帝 拓跋圭,39,371年—409年,南北朝
114,北魏明元帝 拓跋嗣,32,392年—423年,南北朝
115,北魏太武帝 拓跋焘,45,408年—452年,南北朝
116,北魏文成帝 拓跋濬,26,440年—465年,南北朝
117,北魏献文帝 拓跋弘,23,454年—476年,南北朝
118,北魏孝文帝 元宏,33,467年—499年,南北朝
119,北魏宣武帝 元恪,33,483年—515年,南北朝
120,北魏孝明帝 元诩,19,510年—528年,南北朝
121,北魏女帝 元婴,1,528年—528年,南北朝
122,北魏幼主 元钊,3,526年—528年,南北朝
123,北魏孝庄帝 元子攸,24,507年—530年,南北朝
124,北魏节闵帝 元恭,35,498年—532年,南北朝
125,北魏安定王 元朗,20,513年—532年,南北朝
126,北魏孝武帝 元修,25,510年—534年,南北朝
127,东魏孝静帝 元善见,28,524年—551年,南北朝
128,西魏文帝 元宝炬,45,507年—551年,南北朝
129,西魏废帝 元钦,16,525年—554年,南北朝
130,西魏恭帝 拓跋廓,21,537年—557年,南北朝
131,北齐文宣帝 高洋,31,529年—559年,南北朝
132,北齐废帝 高殷,17,545年—561年,南北朝
133,北齐孝昭帝 高演,27,535年—561年,南北朝
134,北齐武成帝 高湛,32,537年—568年,南北朝
135,北齐后主 高纬,21,556年—577年,南北朝
136,北齐幼主 高恒,8,570年—578年,南北朝
137,北周孝闵帝 宇文觉,16,542年—557年,南北朝
138,北周明帝 宇文毓,27,534年—560年,南北朝
139,北周武帝 宇文邕,36,543年—578年,南北朝
140,北周宣帝 宇文赟,22,559年—580年,南北朝
141,北周静帝 宇文阐,9,573年—581年,南北朝
142,隋文帝 杨坚,64,541年－604年,隋朝
143,隋炀帝 杨广,50,569年—618年,隋朝
144,隋恭帝 杨侑,15,605年—619年,隋朝
145,隋皇泰主 杨侗,16,604年—619年,隋朝
146,唐高祖 李渊,70,566年－635年,唐朝
147,唐太宗 李世民,51,599年—649年,唐朝
148,唐高宗 李治,56,628年—683年,唐朝
149,武则天 武瞾,82,624年－705年,唐朝
150,唐中宗 李显,56,656年—710年,唐朝
151,唐殇帝 李重茂,20,695年—714年,唐朝
152,唐睿宗 李旦,55,662年－716年,唐朝
153,唐玄宗 李隆基,78,685年－762年,唐朝
154,唐肃宗 李亨,52,711年－762年,唐朝
155,唐代宗 李豫,54,726年－779年,唐朝
156,唐德宗 李适,64,742年－805年,唐朝
157,唐顺宗 李诵,46,761年－806年,唐朝
158,唐宪宗 李纯,43,778年—820年,唐朝
159,唐穆宗 李恒,30,795年—824年,唐朝
160,唐敬宗 李湛,18,809年—826年,唐朝
161,唐文宗 李昂,32,809年—840年,唐朝
162,唐武宗 李炎,33,814年—846年,唐朝
163,唐宣宗 李忱,50,810年—859年,唐朝
164,唐懿宗 李漼,41,833年—873年,唐朝
165,唐僖宗 李儇,27,862年—888年,唐朝
166,唐昭宗 李晔,38,867年—904年,唐朝
167,唐哀帝 李柷,17,892年—908年,唐朝
168,后梁太祖 朱温,61,852年－912年,五代十国
169,后梁郢王 朱友圭,30,884年—913年,五代十国
169,后梁末帝 朱友贞,36,888年—923年,五代十国
170,后唐庄宗 李存勖,42,885年－926年,五代十国
171,后唐明宗 李嗣源,67,867年－933年,五代十国
172,后唐闵帝 李从厚,21,914年—934年,五代十国
173,后唐末帝 李从珂,52,885年—936年,五代十国
174,后晋高祖 石敬瑭,51,892年－942年,五代十国
175,后晋出帝 石重贵,61,914年－974年,五代十国
176,后汉高祖 刘知远,54,895年—948年,五代十国
177,后汉隐帝 刘承祐,20,931年—950年,五代十国
178,北汉世祖 刘崇,60,895年－954年,五代十国
179,北汉睿宗 刘钧,43,926年－968年,五代十国
180,后周太祖 郭威,51,904年—954年,五代十国
181,后周世宗 柴荣,39,921年—959年,五代十国
182,后周恭帝 柴宗训,21,953年—973年,五代十国
183,吴太祖 杨行密,54,852年－905年,五代十国
184,吴烈祖 杨渥,23,886年—908年,五代十国
185,吴高祖 杨隆演,24,897年—920年,五代十国
186,吴睿帝 杨溥,38,900年－937年,五代十国
187,南唐烈祖 李昪,56,888年－943年,五代十国
188,南唐元宗 李璟,46,916年—961年,五代十国
189,南唐后主 李煜,42,937年—978年,五代十国
190,南汉高祖 刘岩,54,889年－942年,五代十国
191,南汉殇帝 刘玢,24,920年—943年,五代十国
192,南汉中宗 刘晟,39,920年－958年,五代十国
193,南汉后主 刘鋹,38,943年—980年,五代十国
194,前蜀高祖 王建,72,847年－918年,五代十国
195,前蜀后主 王衍,28,899年—926年,五代十国
196,后蜀高祖 孟知祥,61,874年－934年,五代十国
197,后蜀后主 孟昶,47,919年－965年,五代十国
198,宋太祖 赵匡胤,50,927年－976年,宋朝
199,宋太宗 赵光义,59,939年－997年,宋朝
200,宋真宗 赵恒,55,968年—1022年,宋朝
201,宋仁宗 赵祯,54,1010年—1063年,宋朝
202,宋英宗 赵曙,36,1032年—1067年,宋朝
203,宋哲宗 赵煦,25,1076年—1100年,宋朝
204,宋神宗 赵顼,38,1048年—1085年,宋朝
205,宋徽宗 赵佶,54,1082年—1135年,宋朝
206,宋钦宗 赵桓,57,1100年—1156年,宋朝
207,宋高宗 赵构,81,1107年－1187年,宋朝
208,宋孝宗 赵昚,68,1127年－1194年,宋朝
209,宋光宗 赵惇,54,1147年—1200年,宋朝
210,宋宁宗 赵扩,57,1168年—1224年,宋朝
211,宋理宗 赵昀,60,1205年－1264年,宋朝
212,宋度宗 赵禥,35,1240年—1274年,宋朝
213,宋恭帝 赵,53,1271年—1323年,宋朝
214,宋端宗 赵昰,11,1268年—1278年,宋朝
215,宋幼主 赵昺,9,1271年—1279年,宋朝
216,辽太祖 耶律阿保机,55,872年－926年,辽朝
217,辽太宗 耶律德光,46,902年－947年,辽朝
218,辽世宗 耶律阮,34,918年－951年,辽朝
219,辽穆宗 耶律璟,39,931年－969年,辽朝
220,辽景宗 耶律贤,35,948年－982年,辽朝
221,辽圣宗 耶律隆绪,61,971年－1131年,辽朝
222,辽兴宗 耶律宗真,40,1016年－1055年,辽朝
223,辽道宗 耶律洪基,70,1032年－1101年,辽朝
224,辽天祚帝 耶律延禧,54,1075年－1128年,辽朝
225,辽宣宗 耶律淳,61,1062年－1122年,辽朝
226,辽梁王 耶律雅里,30,1094年－1123年,辽朝
227,辽德宗 耶律大石,57,1087年－1143年,辽朝
228,伪齐 刘豫,71,1073年－1143年,金朝
229,金太祖 完颜阿骨打,56,1068年－1123年,金朝
230,金太宗 完颜晟,61,1075年－1135年,金朝
231,金熙宗 完颜亶,31,1119年－1149年,金朝
232,金海陵王 完颜亮,40,1122年－1161年,金朝
233,金世宗 完颜雍,67,1123年－1189年,金朝
234,金章宗 完颜璟,41,1168年－1208年,金朝
235,金卫绍王 完颜永济,61,1153年－1213年,金朝
236,金宣宗 完颜珣,61,1163年－1223年,金朝
237,金哀宗 完颜守绪,37,1198年－1234年,金朝
238,夏景宗 李元昊,46,1003年—1048年,西夏
239,夏毅宗 李谅祚,21,1047年—1067年,西夏
240,夏惠宗 李秉常,26,1061年—1086年,西夏
241,夏崇宗 李乾顺,57,1083年—1139年,西夏
242,夏仁宗 李仁孝,70,1124年－1193年,西夏
243,夏桓宗 李纯祐,30,1177年—1206年,西夏
244,夏襄宗 李安全,42,1170年—1211年,西夏
245,夏神宗 李遵顼,64,1163年－1226年,西夏
246,夏献宗 李德旺,46,1181年—1226年,西夏
247,元太祖 铁木真,66,1162年－1227年,元朝
248,元睿宗 拖雷,41,1192年－1232年,元朝
249,元太宗 窝阔台,56,1186年—1241年,元朝
250,元定宗 贵由,43,1206年－1248年,元朝
251,元宪宗 蒙哥,52,1208年—1259年,元朝
252,元世祖 忽必烈,80,1215年－1294年,元朝
253,元成宗 铁穆耳,43,1265年－1307年,元朝
254,元武宗 海山,31,1281年－1311年,元朝
255,元仁宗 爱育黎拔力八达,36,1285年—1320年,元朝
256,元英宗 硕德八剌,21,1303年—1323年,元朝
257,元泰定帝 也孙铁木儿,36,1293年—1328年,元朝
258,元天顺帝 阿速吉八,9,1320年—1328年,元朝
259,元文宗 图帖睦尔,29,1304年—1332年,元朝
260,元明宗 和世,30,1300年—1329年,元朝
261,元宁宗 懿璘质班,7,1326年—1332年,元朝
262,元惠宗 妥欢帖睦尔,51,1320年—1370年,元朝
263,元昭宗 爱猷识理达腊,40,1339年—1378年,元朝
264,夏太祖 明玉珍,36,1331年－1366年,元朝
265,汉高祖 陈友谅,44,1320年－1363年,元朝
266,明太祖（洪武）朱元璋,71,1328年－1398年,明朝
267,明惠宗（建文）朱允炆,26,1377年—1402年,明朝
268,明成祖（永乐）朱棣,65,1360年－1424年,明朝
269,明仁宗（洪熙）朱高炽,48,1378年—1425年,明朝
270,明宣宗（宣德）朱瞻基,38,1398年－1435年,明朝
271,明英宗（正统、天顺）朱祁镇,38,1427年—1464年,明朝
272,明代宗（景泰）朱祁钰,30,1428年—1457年,明朝
273,明宪宗（成化）朱见深,41,1447年—1487年,明朝
274,明孝宗（弘治）朱祐樘,36,1470年－1505年,明朝
275,明武宗（正德）朱厚照,31,1491年—1521年,明朝
276,明世宗（嘉靖）朱厚熜,60,1507年－1566年,明朝
277,明穆宗（隆庆）朱载垕,36,1537年—1572年,明朝
278,明神宗（万历）朱翊钧,58,1563年－1620年,明朝
279,明光宗（泰昌）朱常洛,39,1582年—1620年,明朝
280,明熹宗（天启）朱由校,23,1605年—1627年,明朝
281,明思宗（崇祯）朱由检,35,1610年—1644年,明朝
282,明安宗（弘光）朱由嵩,40,1607年—1646年,明朝
283,明绍宗（隆武）朱聿键,45,1602年—1646年,明朝
284,明绍武帝 朱聿腊,43,1605年－1647年,明朝
285,明昭宗（永历）朱由榔,38,1625年—1662年,明朝
286,大顺（永昌）李自成,40,1606年－1645年,明朝
287,大西（大顺）张献忠,42,1606年—1647年,明朝
288,周太祖（昭武）吴三桂,67,1612年－1678年,清朝
291,清太祖（天命）努尔哈赤,68,1559年－1626年,清朝
292,清太宗（天聪、崇德）皇太极,52,1592年－1643年,清朝
293,清世祖（顺治）福临,24,1638年—1661年,清朝
294,清圣祖（康熙）玄烨,69,1654年－1722年,清朝
295,清世宗（雍正）胤禛,58,1678年－1735年,清朝
296,清高宗（乾隆）弘历,89,1711年－1799年,清朝
297,清仁宗（嘉庆）颙琰,61,1760年－1820年,清朝
298,清宣宗（道光）旻宁,69,1782年－1850年,清朝
299,清文宗（咸丰）奕詝,31,1831年－1861年,清朝
300,清穆宗（同治）载淳,19,1856年—1874年,清朝
301,清德宗（光绪）载湉,38,1871年－1908年,清朝
302,清逊帝（宣统）溥仪,62,1906年－1967年,清朝